ID,OPERACION,MSGID,CODIGO,TIEMPOMQ,TIPO,TiempoTransaccion
1,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1451605,,8/05/2025 17:59,Resp,00:17
2,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1451605,,8/05/2025 17:59,Req,
3,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A144051C,,8/05/2025 17:59,Resp,00:04
4,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A144051C,,8/05/2025 17:59,Req,
5,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A143B61B,0,8/05/2025 17:59,Resp,00:01
6,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A143B61B,,8/05/2025 17:59,Req,
7,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1439D04,-22,8/05/2025 17:59,Resp,00:28
8,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1439D04,,8/05/2025 17:58,Req,
9,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1436906,-22,8/05/2025 17:59,Resp,00:28
10,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1436906,,8/05/2025 17:58,Req,
11,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1434D2E,0,8/05/2025 17:59,Resp,00:00
12,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1434D2E,,8/05/2025 17:59,Req,
13,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1434506,-22,8/05/2025 17:59,Resp,00:28
14,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1434506,,8/05/2025 17:58,Req,
15,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A1433D4F,,8/05/2025 17:59,Resp,00:04
16,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A1433D4F,,8/05/2025 17:59,Req,
17,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A142FF0B,,8/05/2025 17:59,Resp,00:23
18,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A142FF0B,,8/05/2025 17:58,Req,
19,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A142FC46,,8/05/2025 17:59,Resp,00:09
20,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A142FC46,,8/05/2025 17:59,Req,
21,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A142DA1E,-22,8/05/2025 17:59,Resp,00:28
22,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A142DA1E,,8/05/2025 17:58,Req,
23,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A141C712,,8/05/2025 17:58,Resp,00:25
24,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A141C712,,8/05/2025 17:58,Req,
25,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A141C54B,,8/05/2025 17:59,Resp,00:09
26,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A141C54B,,8/05/2025 17:58,Req,
27,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A141BE36,-22,8/05/2025 17:59,Resp,00:28
28,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A141BE36,,8/05/2025 17:58,Req,
29,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A141A509,-22,8/05/2025 17:58,Resp,00:28
30,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A141A509,,8/05/2025 17:57,Req,
31,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A141994A,,8/05/2025 17:59,Resp,00:09
32,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A141994A,,8/05/2025 17:58,Req,
33,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1414AA8,0,8/05/2025 17:59,Resp,00:00
34,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1414AA8,,8/05/2025 17:59,Req,
35,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1414149,0,8/05/2025 17:58,Resp,00:00
36,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1414149,,8/05/2025 17:58,Req,
37,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1411920,-22,8/05/2025 17:58,Resp,00:28
38,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1411920,,8/05/2025 17:58,Req,
39,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A140A910,0,8/05/2025 17:57,Resp,00:00
40,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A140A910,,8/05/2025 17:57,Req,
41,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A140A334,-22,8/05/2025 17:58,Resp,00:28
42,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A140A334,,8/05/2025 17:58,Req,
43,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A140A322,-22,8/05/2025 17:58,Resp,00:28
44,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A140A322,,8/05/2025 17:57,Req,
45,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1408439,0,8/05/2025 17:58,Resp,00:00
46,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1408439,,8/05/2025 17:58,Req,
47,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1404C9D,-22,8/05/2025 17:59,Resp,00:28
48,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1404C9D,,8/05/2025 17:59,Req,
49,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A14047BA,0,8/05/2025 17:59,Resp,00:00
50,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A14047BA,,8/05/2025 17:59,Req,
51,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A14038A2,0,8/05/2025 17:59,Resp,00:00
52,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A14038A2,,8/05/2025 17:59,Req,
53,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1400A44,-22,8/05/2025 17:58,Resp,00:28
54,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1400A44,,8/05/2025 17:58,Req,
55,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13FC90F,-22,8/05/2025 17:57,Resp,00:28
56,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13FC90F,,8/05/2025 17:57,Req,
57,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13FB377,-22,8/05/2025 17:59,Resp,00:28
58,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13FB377,,8/05/2025 17:58,Req,
59,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13FB36B,0,8/05/2025 17:58,Resp,00:00
60,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13FB36B,,8/05/2025 17:58,Req,
61,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13F9D4C,-22,8/05/2025 17:58,Resp,00:28
62,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13F9D4C,,8/05/2025 17:57,Req,
63,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13F775D,-22,8/05/2025 17:58,Resp,00:28
64,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13F775D,,8/05/2025 17:58,Req,
65,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13F771B,-22,8/05/2025 17:57,Resp,00:28
66,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13F771B,,8/05/2025 17:57,Req,
